"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20241201","경의선","강매","1695","1552","20241204",""
"20241201","경의선","행신","5211","5062","20241204",""
"20241201","경의선","능곡","2903","2824","20241204",""
"20241201","경의선","곡산","383","394","20241204",""
"20241201","경의선","백마","4106","3960","20241204",""
"20241201","경의선","풍산","4389","4183","20241204",""
"20241201","경의선","일산","6670","6245","20241204",""
"20241201","경의선","탄현","5036","4568","20241204",""
"20241201","경의선","야당","6350","6100","20241204",""
"20241201","경의선","운정","4700","4492","20241204",""
"20241201","경의선","금릉","3577","3295","20241204",""
"20241201","경의선","금촌","5136","5604","20241204",""
"20241201","경의선","월롱","972","1315","20241204",""
"20241201","경의선","파주","804","742","20241204",""
"20241201","경의선","문산","3976","4148","20241204",""
"20241201","경의선","임진강","28","36","20241204",""
"20241201","경의선","운천","3","7","20241204",""
"20241201","경인선","개봉","14350","13875","20241204",""
"20241201","경인선","오류동","7796","7219","20241204",""
"20241201","경인선","역곡","15573","15626","20241204",""
"20241201","경인선","부천","24761","24005","20241204",""
"20241201","경인선","송내","14512","13890","20241204",""
"20241201","경인선","부평","23418","22869","20241204",""
"20241201","경인선","백운","4851","4723","20241204",""
"20241201","경인선","동암","10866","10521","20241204",""
"20241201","경인선","주안","13584","11789","20241204",""
"20241201","경인선","제물포","6095","5739","20241204",""
"20241201","경인선","동인천","9871","9416","20241204",""
"20241201","경인선","인천","3526","2870","20241204",""
"20241201","경인선","구일","14994","17882","20241204",""
"20241201","경인선","소사","5850","5535","20241204",""
"20241201","경인선","부개","5405","5100","20241204",""
"20241201","경인선","간석","3617","3392","20241204",""
"20241201","경인선","도원","2060","2057","20241204",""
"20241201","경인선","온수(성공회대입구)","4270","3888","20241204",""
"20241201","경인선","중동","5787","5405","20241204",""
"20241201","경인선","도화","2664","2510","20241204",""
"20241201","경춘선","신내","1429","1282","20241204",""
"20241201","경춘선","갈매","1572","1427","20241204",""
"20241201","경춘선","별내","1784","1537","20241204",""
"20241201","경춘선","퇴계원","2453","2148","20241204",""
"20241201","경춘선","사릉","1316","1194","20241204",""
"20241201","경춘선","금곡","947","878","20241204",""
"20241201","2호선","잠실새내","13649","13586","20241204",""
"20241201","경춘선","평내호평","3696","3445","20241204",""
"20241201","경춘선","천마산","1111","1020","20241204",""
"20241201","경춘선","마석","2687","2460","20241204",""
"20241201","경춘선","대성리","605","337","20241204",""
"20241201","경춘선","청평","1582","1380","20241204",""
"20241201","경춘선","상천","343","260","20241204",""
"20241201","경춘선","가평","1705","1430","20241204",""
"20241201","경춘선","굴봉산","102","104","20241204",""
"20241201","경춘선","백양리","119","84","20241204",""
"20241201","경춘선","강촌","511","427","20241204",""
"20241201","경춘선","김유정","380","396","20241204",""
"20241201","경춘선","남춘천","2756","3362","20241204",""
"20241201","경춘선","춘천","1498","1722","20241204",""
"20241201","공항철도 1호선","서울역","15240","13786","20241204",""
"20241201","공항철도 1호선","공덕","1867","2635","20241204",""
"20241201","공항철도 1호선","홍대입구","16114","14143","20241204",""
"20241201","공항철도 1호선","디지털미디어시티","5035","5021","20241204",""
"20241201","공항철도 1호선","마곡나루(서울식물원)","3501","4184","20241204",""
"20241201","공항철도 1호선","김포공항","7669","4548","20241204",""
"20241201","공항철도 1호선","계양","7715","7269","20241204",""
"20241201","공항철도 1호선","검암","3797","3837","20241204",""
"20241201","공항철도 1호선","청라국제도시","4038","4060","20241204",""
"20241201","공항철도 1호선","운서","8116","8465","20241204",""
"20241201","공항철도 1호선","공항화물청사","970","1000","20241204",""
"20241201","공항철도 1호선","인천공항1터미널","14023","15489","20241204",""
"20241201","공항철도 1호선","인천공항2터미널","6930","6735","20241204",""
"20241201","공항철도 1호선","영종","3215","3078","20241204",""
"20241201","과천선","선바위","4150","3489","20241204",""
"20241201","과천선","경마공원","17178","17118","20241204",""
"20241201","과천선","대공원","3250","3461","20241204",""
"20241201","과천선","과천","4279","3951","20241204",""
"20241201","과천선","정부과천청사","5434","5381","20241204",""
"20241201","과천선","인덕원","14487","14720","20241204",""
"20241201","과천선","평촌","7616","7284","20241204",""
"20241201","과천선","범계","17782","17273","20241204",""
"20241201","분당선","선릉","3340","5113","20241204",""
"20241201","분당선","한티","8687","8651","20241204",""
"20241201","분당선","도곡","3580","3499","20241204",""
"20241201","분당선","구룡","1798","1880","20241204",""
"20241201","분당선","개포동","2761","2795","20241204",""
"20241201","분당선","대모산입구","3240","3176","20241204",""
"20241201","분당선","수서","11604","11633","20241204",""
"20241201","분당선","복정","2","0","20241204",""
"20241201","분당선","수원","6418","5871","20241204",""
"20241201","분당선","서울숲","8814","9519","20241204",""
"20241201","분당선","압구정로데오","11475","12063","20241204",""
"20241201","분당선","강남구청","3566","4393","20241204",""
"20241201","분당선","선정릉","2419","2437","20241204",""
"20241201","분당선","가천대","4550","5298","20241204",""
"20241201","분당선","태평","8776","8248","20241204",""
"20241201","분당선","모란","12263","12643","20241204",""
"20241201","분당선","야탑","15177","15481","20241204",""
"20241201","분당선","서현","15688","15391","20241204",""
"20241201","분당선","수내","6619","6555","20241204",""
"20241201","분당선","정자","8202","8370","20241204",""
"20241201","분당선","미금","8645","8975","20241204",""
"20241201","분당선","오리","5979","5396","20241204",""
"20241201","분당선","이매","3756","3844","20241204",""
"20241201","분당선","보정","1220","1155","20241204",""
"20241201","분당선","죽전","8896","9896","20241204",""
"20241201","분당선","구성","4018","4109","20241204",""
"20241201","분당선","신갈","2310","2361","20241204",""
"20241201","분당선","기흥","5938","5559","20241204",""
"20241201","분당선","상갈","3018","3249","20241204",""
"20241201","분당선","청명","2826","2961","20241204",""
"20241201","분당선","영통","6248","6254","20241204",""
"20241201","분당선","망포","7554","7981","20241204",""
"20241201","분당선","매탄권선","3213","3138","20241204",""
"20241201","분당선","수원시청","9511","9530","20241204",""
"20241201","분당선","매교","2809","2783","20241204",""
"20241201","서해선","김포공항","2830","3632","20241204",""
"20241201","서해선","원종","3262","3195","20241204",""
"20241201","서해선","부천종합운동장","1536","1284","20241204",""
"20241201","수인선","고색","2300","2378","20241204",""
"20241201","수인선","오목천","2473","2394","20241204",""
"20241201","수인선","어천","1040","1111","20241204",""
"20241201","수인선","야목","251","199","20241204",""
"20241201","수인선","사리","3331","2785","20241204",""
"20241201","수인선","달월","52","44","20241204",""
"20241201","수인선","월곶","1998","1849","20241204",""
"20241201","수인선","소래포구","4168","3913","20241204",""
"20241201","수인선","인천논현","3477","3562","20241204",""
"20241201","수인선","호구포","2144","2157","20241204",""
"20241201","수인선","남동인더스파크","689","682","20241204",""
